segment,day,period,travel_time,sample_size
Lamar_and_Manchca_Barton_skyway,0,am_off,48.50704225,71
Lamar_and_Manchca_Barton_skyway,0,am_peak,57.12831241,717
Lamar_and_Manchca_Barton_skyway,0,mid-day,57.81325788,1237
Lamar_and_Manchca_Barton_skyway,0,pm-off,52.49501661,301
Lamar_and_Manchca_Barton_skyway,0,pm-peak,62.84745763,767
Lamar_and_Manchca_Barton_skyway,1,am_off,50.05825243,103
Lamar_and_Manchca_Barton_skyway,1,am_peak,59.04970179,1006
Lamar_and_Manchca_Barton_skyway,1,mid-day,55.22704082,1568
Lamar_and_Manchca_Barton_skyway,1,pm-off,51.215,400
Lamar_and_Manchca_Barton_skyway,1,pm-peak,57.97026759,1009
Lamar_and_Manchca_Barton_skyway,2,am_off,45.96703297,91
Lamar_and_Manchca_Barton_skyway,2,am_peak,70.87204724,1016
Lamar_and_Manchca_Barton_skyway,2,mid-day,54.91506304,1507
Lamar_and_Manchca_Barton_skyway,2,pm-off,51.24782609,460
Lamar_and_Manchca_Barton_skyway,2,pm-peak,61.7657247,1097
Lamar_and_Manchca_Barton_skyway,3,am_off,44.21774194,124
Lamar_and_Manchca_Barton_skyway,3,am_peak,75.24182359,1009
Lamar_and_Manchca_Barton_skyway,3,mid-day,58.30951041,1777
Lamar_and_Manchca_Barton_skyway,3,pm-off,55.46083789,549
Lamar_and_Manchca_Barton_skyway,3,pm-peak,65.16583333,1200
Lamar_and_Manchca_Barton_skyway,4,am_off,47.75,140
Lamar_and_Manchca_Barton_skyway,4,am_peak,57.38498024,1265
Lamar_and_Manchca_Barton_skyway,4,mid-day,62.02010669,2437
Lamar_and_Manchca_Barton_skyway,4,pm-off,58.67431193,872
Lamar_and_Manchca_Barton_skyway,4,pm-peak,67.47503671,1362
Lamar_and_Manchca_Barton_skyway,5,am_off,46.44262295,244
Lamar_and_Manchca_Barton_skyway,5,am_peak,50.43505155,485
Lamar_and_Manchca_Barton_skyway,5,mid-day,65.62466607,2246
Lamar_and_Manchca_Barton_skyway,5,pm-off,58.49651972,862
Lamar_and_Manchca_Barton_skyway,5,pm-peak,63.54297994,1396
Lamar_and_Manchca_Barton_skyway,6,am_off,50.365,200
Lamar_and_Manchca_Barton_skyway,6,am_peak,51.98404255,188
Lamar_and_Manchca_Barton_skyway,6,mid-day,65.01082431,1201
Lamar_and_Manchca_Barton_skyway,6,pm-off,53.55828221,326
Lamar_and_Manchca_Barton_skyway,6,pm-peak,61.29285714,700
lamar_barton_springs,0,am_off,43.90654206,107
lamar_barton_springs,0,am_peak,61.23275862,928
lamar_barton_springs,0,mid-day,53.89280868,1474
lamar_barton_springs,0,pm-off,56.27036395,577
lamar_barton_springs,0,pm-peak,56.91400491,1221
lamar_barton_springs,1,am_off,43.04411765,136
lamar_barton_springs,1,am_peak,61.39920949,759
lamar_barton_springs,1,mid-day,51.47136872,1432
lamar_barton_springs,1,pm-off,54.19742489,466
lamar_barton_springs,1,pm-peak,59.47450572,961
lamar_barton_springs,2,am_off,41.38211382,123
lamar_barton_springs,2,am_peak,71.14754098,976
lamar_barton_springs,2,mid-day,50.92402827,1698
lamar_barton_springs,2,pm-off,54.49136578,637
lamar_barton_springs,2,pm-peak,54.92753623,1173
lamar_barton_springs,3,am_off,42.75816993,153
lamar_barton_springs,3,am_peak,71.0626186,1054
lamar_barton_springs,3,mid-day,55.91571641,2017
lamar_barton_springs,3,pm-off,57.0896921,747
lamar_barton_springs,3,pm-peak,57.68934911,1352
lamar_barton_springs,4,am_off,47.08888889,225
lamar_barton_springs,4,am_peak,56.17546584,1288
lamar_barton_springs,4,mid-day,70.25758725,2636
lamar_barton_springs,4,pm-off,59.91143911,1084
lamar_barton_springs,4,pm-peak,69.68388851,1471
lamar_barton_springs,5,am_off,49.62863535,447
lamar_barton_springs,5,am_peak,49.02193784,547
lamar_barton_springs,5,mid-day,63.86554965,2447
lamar_barton_springs,5,pm-off,59.2375,1200
lamar_barton_springs,5,pm-peak,59.16989117,1654
lamar_barton_springs,6,am_off,51.39230769,390
lamar_barton_springs,6,am_peak,46.39726027,292
lamar_barton_springs,6,mid-day,52.99184442,1594
lamar_barton_springs,6,pm-off,51.9082397,534
lamar_barton_springs,6,pm-peak,53.27135678,995
Lamar_Blue_Bonnet,0,am_off,41.71296296,108
Lamar_Blue_Bonnet,0,am_peak,62.30051813,965
Lamar_Blue_Bonnet,0,mid-day,54.86738544,1855
Lamar_Blue_Bonnet,0,pm-off,46.53179191,519
Lamar_Blue_Bonnet,0,pm-peak,60.20683903,1199
Lamar_Blue_Bonnet,1,am_off,39.12857143,140
Lamar_Blue_Bonnet,1,am_peak,63.76225045,1102
Lamar_Blue_Bonnet,1,mid-day,57.33317513,2107
Lamar_Blue_Bonnet,1,pm-off,46.77961019,667
Lamar_Blue_Bonnet,1,pm-peak,60.16883117,1540
Lamar_Blue_Bonnet,2,am_off,40.43949045,157
Lamar_Blue_Bonnet,2,am_peak,86.04371585,1098
Lamar_Blue_Bonnet,2,mid-day,56.61589404,2114
Lamar_Blue_Bonnet,2,pm-off,48.64426877,759
Lamar_Blue_Bonnet,2,pm-peak,60.94264339,1604
Lamar_Blue_Bonnet,3,am_off,40.63414634,164
Lamar_Blue_Bonnet,3,am_peak,81.18592058,1108
Lamar_Blue_Bonnet,3,mid-day,57.9768559,2290
Lamar_Blue_Bonnet,3,pm-off,49.14915694,771
Lamar_Blue_Bonnet,3,pm-peak,62.84960422,1516
Lamar_Blue_Bonnet,4,am_off,38.69406393,219
Lamar_Blue_Bonnet,4,am_peak,61.31944444,1368
Lamar_Blue_Bonnet,4,mid-day,61.40405081,2913
Lamar_Blue_Bonnet,4,pm-off,49.87700084,1187
Lamar_Blue_Bonnet,4,pm-peak,62.19632606,1742
Lamar_Blue_Bonnet,5,am_off,39.73536896,393
Lamar_Blue_Bonnet,5,am_peak,44.41780822,584
Lamar_Blue_Bonnet,5,mid-day,63.83951524,2723
Lamar_Blue_Bonnet,5,pm-off,48.22774869,1146
Lamar_Blue_Bonnet,5,pm-peak,60.54243119,1744
Lamar_Blue_Bonnet,6,am_off,40.19314642,321
Lamar_Blue_Bonnet,6,am_peak,44.9173913,230
Lamar_Blue_Bonnet,6,mid-day,56.78111274,1366
Lamar_Blue_Bonnet,6,pm-off,45.74663677,446
Lamar_Blue_Bonnet,6,pm-peak,54.42941874,843
Lamar_BrodieOaks,0,am_off,127,6
Lamar_BrodieOaks,0,am_peak,106.0467836,171
Lamar_BrodieOaks,0,mid-day,97.4527027,296
Lamar_BrodieOaks,0,pm-off,98.69811321,53
Lamar_BrodieOaks,0,pm-peak,115.2021858,183
Lamar_BrodieOaks,1,am_off,79.4,5
Lamar_BrodieOaks,1,am_peak,115.5492424,264
Lamar_BrodieOaks,1,mid-day,97.37377049,305
Lamar_BrodieOaks,1,pm-off,99.98484848,66
Lamar_BrodieOaks,1,pm-peak,117.2751323,189
Lamar_BrodieOaks,2,am_off,87.375,8
Lamar_BrodieOaks,2,am_peak,143.7056075,214
Lamar_BrodieOaks,2,mid-day,96.67957746,284
Lamar_BrodieOaks,2,pm-off,100.6282051,78
Lamar_BrodieOaks,2,pm-peak,116.3785311,177
Lamar_BrodieOaks,3,am_off,88,12
Lamar_BrodieOaks,3,am_peak,129.3740741,270
Lamar_BrodieOaks,3,mid-day,99.12989691,485
Lamar_BrodieOaks,3,pm-off,103.8310811,148
Lamar_BrodieOaks,3,pm-peak,116.443038,316
Lamar_BrodieOaks,4,am_off,83.83333333,12
Lamar_BrodieOaks,4,am_peak,112.9913043,345
Lamar_BrodieOaks,4,mid-day,106.8441358,648
Lamar_BrodieOaks,4,pm-off,108.4239631,217
Lamar_BrodieOaks,4,pm-peak,119.4153846,325
Lamar_BrodieOaks,5,am_off,116.7407407,27
Lamar_BrodieOaks,5,am_peak,108.7184466,103
Lamar_BrodieOaks,5,mid-day,169.6147404,597
Lamar_BrodieOaks,5,pm-off,113.2135417,192
Lamar_BrodieOaks,5,pm-peak,143.259901,404
Lamar_BrodieOaks,6,am_off,94.65384615,26
Lamar_BrodieOaks,6,am_peak,94.53125,32
Lamar_BrodieOaks,6,mid-day,118.6647399,346
Lamar_BrodieOaks,6,pm-off,102.7560976,82
Lamar_BrodieOaks,6,pm-peak,115.5971564,211
lamar_lamar_square,0,am_off,60.28037383,107
lamar_lamar_square,0,am_peak,135.3456973,674
lamar_lamar_square,0,mid-day,80.33305085,1180
lamar_lamar_square,0,pm-off,69.19301848,487
lamar_lamar_square,0,pm-peak,89.15513834,1012
lamar_lamar_square,1,am_off,57.8490566,106
lamar_lamar_square,1,am_peak,137.0545455,660
lamar_lamar_square,1,mid-day,79.88990826,1308
lamar_lamar_square,1,pm-off,71.42403628,441
lamar_lamar_square,1,pm-peak,95.81661273,927
lamar_lamar_square,2,am_off,57.1440678,118
lamar_lamar_square,2,am_peak,190.8973913,575
lamar_lamar_square,2,mid-day,81.43870403,1142
lamar_lamar_square,2,pm-off,71.08628319,452
lamar_lamar_square,2,pm-peak,95.92579075,822
lamar_lamar_square,3,am_off,56.26984127,126
lamar_lamar_square,3,am_peak,164.2212042,764
lamar_lamar_square,3,mid-day,88.05365854,1640
lamar_lamar_square,3,pm-off,73.74347158,651
lamar_lamar_square,3,pm-peak,98.43092406,1093
lamar_lamar_square,4,am_off,60.8125,208
lamar_lamar_square,4,am_peak,98.08627451,1020
lamar_lamar_square,4,mid-day,101.4924898,2197
lamar_lamar_square,4,pm-off,77.80131004,916
lamar_lamar_square,4,pm-peak,102.2343234,1212
lamar_lamar_square,5,am_off,61.74309392,362
lamar_lamar_square,5,am_peak,63.29186603,418
lamar_lamar_square,5,mid-day,106.2055295,1917
lamar_lamar_square,5,pm-off,76.04072883,933
lamar_lamar_square,5,pm-peak,93.18829707,1333
lamar_lamar_square,6,am_off,62.95522388,335
lamar_lamar_square,6,am_peak,66.41035857,251
lamar_lamar_square,6,mid-day,84.73809524,1218
lamar_lamar_square,6,pm-off,67.33485194,439
lamar_lamar_square,6,pm-peak,78.28836634,808
lamar_oltorf,0,am_off,68.74590164,122
lamar_oltorf,0,am_peak,88.91928251,892
lamar_oltorf,0,mid-day,78.87422796,1781
lamar_oltorf,0,pm-off,71.4309816,652
lamar_oltorf,0,pm-peak,102.9261234,1313
lamar_oltorf,1,am_off,63.19852941,136
lamar_oltorf,1,am_peak,100.384106,1057
lamar_oltorf,1,mid-day,79.08237748,1918
lamar_oltorf,1,pm-off,73.0385208,649
lamar_oltorf,1,pm-peak,98.61936438,1353
lamar_oltorf,2,am_off,65.5443038,158
lamar_oltorf,2,am_peak,139.7605096,785
lamar_oltorf,2,mid-day,81.24287343,1754
lamar_oltorf,2,pm-off,77.79056865,721
lamar_oltorf,2,pm-peak,106.1443299,1261
lamar_oltorf,3,am_off,62.64634146,164
lamar_oltorf,3,am_peak,127.7993827,972
lamar_oltorf,3,mid-day,81.40724425,2043
lamar_oltorf,3,pm-off,78.34449761,836
lamar_oltorf,3,pm-peak,95.6991404,1396
lamar_oltorf,4,am_off,69.20992366,262
lamar_oltorf,4,am_peak,74.25418327,1255
lamar_oltorf,4,mid-day,86.95022288,2692
lamar_oltorf,4,pm-off,76.13162393,1170
lamar_oltorf,4,pm-peak,100.236927,1549
lamar_oltorf,5,am_off,70.12616822,428
lamar_oltorf,5,am_peak,68.37847866,539
lamar_oltorf,5,mid-day,87.73053404,2453
lamar_oltorf,5,pm-off,76.42857143,1190
lamar_oltorf,5,pm-peak,84.77440873,1649
lamar_oltorf,6,am_off,64.47246377,345
lamar_oltorf,6,am_peak,72.33090909,275
lamar_oltorf,6,mid-day,81.50341064,1466
lamar_oltorf,6,pm-off,74.58768657,536
lamar_oltorf,6,pm-peak,81.56578947,988
